Factor,Spandau,Zoo Garten,Hauptbahnhof,Alexanderplatz,"Pankow							"
Green space,3,2.25,1.25,1,"2.75							"
Cleanliness,3.5,4.75,4,3.5,"3							"
Congestion,3.5,2.75,2.25,3.75,"3.25							"
Accessibility,4,3.75,4,1.75,"3							"
Maintenance,4,4,4.75,3.25,"2.25							"
Integration,3.75,4.5,4.5,3.67,"3.5							"
Safety,3.25,4,4.25,2.67,"2.5							"
AirQualAvg,2.3,3.5,2.77,2.4,"2.3							"
Time,10:00,10:50,11:25,13:00,"13:40							"
Weather info,"12, ws 4mph, sunny","14, 4mph, sunny","15, 4mph, sunny","17, 5mph, sunny","17, 5mph, sunny"
Location,"52.534722, 13.198611","52.506778, 13.332972","52.525861, 13.368778","52.521611, 13.411528","52.566667, 13.412167"
